ID,奥特曼名称,年份,形态,图片文件名（建议）
2,赛文奥特曼,1967,普通形态,03_赛文.jpg
2,赛文奥特曼,1967,闪耀版,03_赛文_闪耀版.jpg
5,泰罗奥特曼,1973,普通形态,06_泰罗.jpg
5,泰罗奥特曼,1973,超级形态,06_泰罗_超级形态.jpg
5,泰罗奥特曼,1973,少年形态,06_泰罗_少年形态.jpg
11,迪迦奥特曼,1996,复合型,13_迪迦.jpg
11,迪迦奥特曼,1996,空中型,13_迪迦_空中型.jpg
11,迪迦奥特曼,1996,强力型,13_迪迦_强力型.jpg
11,迪迦奥特曼,1996,闪耀型,13_迪迦_闪耀型.jpg
12,戴拿奥特曼,1997,闪亮型,14_戴拿.jpg
12,戴拿奥特曼,1997,奇迹型,14_戴拿_奇迹型.jpg
12,戴拿奥特曼,1997,强壮型,14_戴拿_强壮型.jpg
13,盖亚奥特曼,1998,V2型,15_盖亚.jpg
13,盖亚奥特曼,1998,V3型,15_盖亚_V3型.jpg
13,盖亚奥特曼,1998,至高型,15_盖亚_至高型.jpg
14,高斯奥特曼,2001,月神型,16_高斯.jpg
14,高斯奥特曼,2001,日蚀型,16_高斯_日蚀型.jpg
14,高斯奥特曼,2001,最终型,16_高斯_最终型.jpg
14,高斯奥特曼,2001,宇宙日蚀型,16_高斯_宇宙日蚀型.jpg
15,奈克瑟斯奥特曼,2004,幼年型,17_奈克瑟斯.jpg
15,奈克瑟斯奥特曼,2004,青年型,17_奈克瑟斯_青年型.jpg
15,奈克瑟斯奥特曼,2004,蓝色成年型,17_奈克瑟斯_蓝色成年型.jpg
15,奈克瑟斯奥特曼,2004,红色成年型,17_奈克瑟斯_红色成年型.jpg
15,奈克瑟斯奥特曼,2004,诺亚形态,17_奈克瑟斯_诺亚形态.jpg
17,梦比优斯奥特曼,2006,普通形态,19_梦比优斯.jpg
17,梦比优斯奥特曼,2006,无限形态,19_梦比优斯_无限形态.jpg
17,梦比优斯奥特曼,2006,凤凰形态,19_梦比优斯_凤凰形态.jpg
20,艾克斯奥特曼,2015,基础形态,22_艾克斯.jpg
20,艾克斯奥特曼,2015,虚拟哥莫拉,22_艾克斯_虚拟哥莫拉.jpg
20,艾克斯奥特曼,2015,超越哥莫拉,22_艾克斯_超越哥莫拉.jpg
21,欧布奥特曼,2016,起源形态,23_欧布.jpg
21,欧布奥特曼,2016,暴怒形态,23_欧布_暴怒形态.jpg
21,欧布奥特曼,2016,疾风形态,23_欧布_疾风形态.jpg
21,欧布奥特曼,2016,暗耀形态,23_欧布_暗耀形态.jpg
21,欧布奥特曼,2016,辉煌形态,23_欧布_辉煌形态.jpg
22,捷德奥特曼,2017,初始形态,24_捷德.jpg
22,捷德奥特曼,2017,刚燃形态,24_捷德_刚燃形态.jpg
22,捷德奥特曼,2017,机敏形态,24_捷德_机敏形态.jpg
22,捷德奥特曼,2017,尊捷形态,24_捷德_尊捷形态.jpg
22,捷德奥特曼,2017,终极形态,24_捷德_终极形态.jpg
23,罗布奥特曼,2018,罗索形态,25_罗布.jpg
23,罗布奥特曼,2018,布鲁形态,25_罗布_布鲁形态.jpg
23,罗布奥特曼,2018,格罗布形态,25_罗布_格罗布形态.jpg
24,泰迦奥特曼,2019,光之绊形态,26_泰迦.jpg
24,泰迦奥特曼,2019,泰塔斯形态,26_泰迦_泰塔斯形态.jpg
24,泰迦奥特曼,2019,风马形态,26_泰迦_风马形态.jpg
24,泰迦奥特曼,2019,煜形态,26_泰迦_煜形态.jpg
25,泽塔奥特曼,2020,阿尔法形态,27_泽塔.jpg
25,泽塔奥特曼,2020,贝塔形态,27_泽塔_贝塔形态.jpg
25,泽塔奥特曼,2020,伽马形态,27_泽塔_伽马形态.jpg
25,泽塔奥特曼,2020,德尔塔形态,27_泽塔_德尔塔形态.jpg
26,特利迦奥特曼,2021,复合形态,28_特利迦.jpg
26,特利迦奥特曼,2021,强力形态,28_特利迦_强力形态.jpg
26,特利迦奥特曼,2021,空中形态,28_特利迦_空中形态.jpg
26,特利迦奥特曼,2021,永恒核心形态,28_特利迦_永恒核心形态.jpg
27,德凯奥特曼,2022,闪亮形态,29_德凯.jpg
27,德凯奥特曼,2022,强劲形态,29_德凯_强劲形态.jpg
27,德凯奥特曼,2022,奇迹形态,29_德凯_奇迹形态.jpg
27,德凯奥特曼,2022,光辉形态,29_德凯_光辉形态.jpg
28,布莱泽奥特曼,2023,通常形态,30_布莱泽.jpg
28,布莱泽奥特曼,2023,甲胄形态,30_布莱泽_甲胄形态.jpg
29,亚刻奥特曼,2024,通常形态,31_亚刻.jpg
29,亚刻奥特曼,2024,赛亚古形态,31_亚刻_赛亚古形态.jpg
