ID,奥特曼名称,形态名称,技能名称,图片文件名
1,初代奥特曼,,斯派修姆光线,初代奥特曼_斯派修姆光线.jpg
1,初代奥特曼,,奥特屏障,初代奥特曼_奥特屏障.jpg
1,初代奥特曼,,奥特水流,初代奥特曼_奥特水流.jpg
2,赛文奥特曼,普通形态,集束射线,赛文奥特曼_集束射线.jpg
2,赛文奥特曼,普通形态,艾梅利光线,赛文奥特曼_艾梅利光线.jpg
2,赛文奥特曼,普通形态,头镖,赛文奥特曼_头镖.jpg
2,赛文奥特曼,闪耀版,闪耀集束射线,赛文奥特曼_闪耀集束射线.jpg
3,杰克奥特曼,,流星飞踢,杰克奥特曼_流星飞踢.jpg
3,杰克奥特曼,,斯派修姆光线,杰克奥特曼_斯派修姆光线.jpg
3,杰克奥特曼,,奥特手镯,杰克奥特曼_奥特手镯.jpg
3,杰克奥特曼,,希卡利玛光束,杰克奥特曼_希卡利玛光束.jpg
4,艾斯奥特曼,,梅塔利姆光线,艾斯奥特曼_梅塔利姆光线.jpg
4,艾斯奥特曼,,艾斯电击踢,艾斯奥特曼_艾斯电击踢.jpg
4,艾斯奥特曼,,奥特宏大光墙,艾斯奥特曼_奥特宏大光墙.jpg
4,艾斯奥特曼,,计时器光线,艾斯奥特曼_计时器光线.jpg
5,泰罗奥特曼,普通形态,斯特利姆光线,泰罗奥特曼_斯特利姆光线.jpg
5,泰罗奥特曼,普通形态,奥特炸弹,泰罗奥特曼_奥特炸弹.jpg
5,泰罗奥特曼,普通形态,泰罗手镯,泰罗奥特曼_泰罗手镯.jpg
5,泰罗奥特曼,超级形态,斯特利姆光线,泰罗奥特曼_斯特利姆光线.jpg
5,泰罗奥特曼,少年形态,泰罗手镯,泰罗奥特曼_泰罗手镯.jpg
6,雷欧奥特曼,,雷欧飞踢,雷欧奥特曼_雷欧飞踢.jpg
6,雷欧奥特曼,,雷欧手刀,雷欧奥特曼_雷欧手刀.jpg
6,雷欧奥特曼,,透视能力,雷欧奥特曼_透视能力.jpg
6,雷欧奥特曼,,宇宙拳法,雷欧奥特曼_宇宙拳法.jpg
